id	project	Faculty	Countries	Website	Start Date	End Date	desc	Topics	Sponsors	Collaborators	Dept & School
275	Prevalence and Correlates of Health-related Lifestyle Behaviors among Adults in Southern Sri Lanka	Ostbye (Østbye), Truls	Sri Lanka		January 2006	Ongoing	Sri Lanka was hit by a tsunami in December 2004, causing more than 40,000 deaths and displacing over a million people. Unhealthy behaviors such as the use of alcohol and tobacco, and family violence, seem to be prevalent and increasing in the affected areas, but no reliable data were available to better understand the health conditions and behavioral patterns of people living in tsunami-affected areas. The purpose of this research is to investigate, via a community-based survey, basic behavioral patterns and health conditions among adults in Southern Sri Lanka and to investigate attitudes of people on common behaviors seen in the society.5 publicationsGenerates knowledge regarding health risk behaviors of teenagers and adults in southern Sri Lanka.	Pediatrics,Epidemiology,Gender and sexual health	Hubert-Yeargan Center for Global Health,Duke Medical Center	University of Ruhuna	
276	HIV/AIDS & Orphan Care (POFO II); Positive Outcomes for Orphans (POFO)	Whetten, Kathryn	Cambodia,India,Ethiopia,Kenya,Tanzania,United States	http://chpir.org/_homepage-content/research/pofo/	August 2005	Ongoing	"POFO is a 10-year observational study of orphaned and abandoned children (OAC) and a small cohort of non-OAC in five low and middle-income countries (Cambodia, Ethiopia, India, Kenya, and Tanzania). Children and their caregivers were first interviewed starting at ages 6 to 12 in order to examine the influence of life events, residential placements, caregiver characteristics, and cultural settings on the children's: 1) learning and development including behavioral and emotional adjustment, 2) health outcomes, 3) relationship outcomes including HIV risk behaviors and family formation, and 4) educational achievement, labor force participation, and civic engagement.Round 9 interviews were completed at all six POFO study sites. Round 10 interviews will begin during the fall and winter of 2013. Data entry is ongoing. The Research Director of the international sector, Rachel Whetten, conducted a site visit at the Moshi site in April 2013. In April 2013 Grace Zhou presented POFO findings (Understanding the psychosocial health of orphans and vulnerable children) at the Global Health & Innovation conference at Yale University. Grace, a Hart Fellow, is currently conducting a supplemental project to POFO to examine the reintegration experiences of formerly institutionalized children at the POFO site in Battambang, Cambodia. In November 2013 Amy Hobbie presented POFO findings (Psychosocial wellbeing and cognitive development among orphans and abandoned children in five low income countries) at the annual International Society for Traumatic Stress Studies conference in Philadelphia. In November 2013 an article using POFO data called ""Child and caregiver concordance of potentially traumatic events experienced by orphaned and abandoned children"" by D. G. Rajan et al. was published in Vulnerable Children and Youth Studies. Jan Ostermann and Jia Yao each gave a presentation at the %u201CInternational Symposium on Psychosocial Well-being of Disadvantaged Children%u201D held in Kaifeng, Henan Province, China in November 2013? Jan's presentation was called ""Is support for orphans targeted toward those in need and does it matter?"" and Jia's was called ""Exploring adolescent Behavior and achievement.""The goal of the POFO research study is to provide additional evidence to local communities, policy makers and funding agencies regarding a range of optimal and feasible care options for orphaned and abandoned children ages six and above in less wealthy nations."	Pediatrics,Health policy and systems,HIV/AIDS,Mental health,Substance use	NIH-National Institute of Child Health and Human Development	KIWAKKUKI	
277	CREATE: Consortium to Respond Effectively to the AIDS-TB Epidemic	Pan, William	Brazil,South Africa	http://www.tbhiv-create.org/	January 2005	Ongoing	The CREATE mission is to reduce death and disease from Tuberculosis in populations with high rates of HIV AIDS. Representing researchers, clinicians, policy makers, AIDS/TB control programs, and the community at large, the CREATE Consortium is implementing research studies to assess the impact of bold, new public health paradigms for controlling the AIDS/TB epidemic.	Epidemiology,HIV/AIDS	Bill & Melinda Gates Foundation	Johns Hopkins University	
278	POFO: Positive Outcomes for Orphans		Ethiopia,Kenya,Cambodia,Tanzania,India	http://chpir.org/_homepage-content/research/pofo/	November 2003	Ongoing	"Positive Outcomes for Orphans (POFO) is a longitudinal, multi-country study tracking the experiences of 3,000 orphans and separated children (OSC) and their caregivers in five low and middle-income countries. This study began following the POFO cohort in 2006, and in 2010 the grant for ""POFO II"" was awarded, which allowed the study to continue interviewing the POFO participants as they transition through adolescence and early adulthood. The focus of this longitudinal research of children starting ages 6 to 12 is to examine the influence of life events, placement, caregiver characteristics, and cultural setting on the children's: * behavioral and emotional adjustment; * learning and development; * and health outcomes.The following describes POFO achievements in 2014: * Round 10 data collection is nearing completion. * Additional papers have been published: Whetten K, Ostermann J, Pence B, et al. Three-Year Change in the Wellbeing of Orphaned and Separated Children in Institutional and Family-Based Care Settings in Five Low- and Middle-Income Countries. PLoS ONE. 2014 Aug 14. DOI: 10.1371/journal.pone.0104872 Escueta M, Whetten K, Ostermann J, O'Donnell K. Adverse Childhood Experiences, Psychosocial Well-being and Cognitive Development among Orphans and Abandoned Children in Five Low Income Countries. BMC International Health and Human Rights. 2014, 14:6 doi:10.1186/1472-698X-14-6. Rajana, D, Shirey K, Ostermann J, Whetten R, O'Donnell K, Whetten K. Child and caregiver concordance of potentially traumatic events experienced by orphaned and abandoned children. Vulnerable Children and Youth Studies. 2014;9(3):220-233. * As of December 2014, study sites are preparing Round 11 data collection. * For ongoing activities and a list of all publications see pofostudy.orgThe study can tell us much about the lives being currently lived by orphaned and separated children (OSC) in less wealthy nations most affected by the new OSC epidemic and what characteristics are associated with better outcomes for the children. The ultimate goal of the POFO research study is to provide additional evidence to local communities, policymakers, and funding agencies regarding a range of feasible care options for OAC ages 6 and above in less wealthy nations."	Pediatrics,HIV/AIDS			
279	Patient Care in Honduras - Exploring Medicine class	Clements, Dennis	Honduras		January 2003	Ongoing	"Dr. Clements precepts medical and PA students, and pediatric and psychiatry residents in the outpatient clinic each week. He gives lectures on infectious disease, immunology and epidemiology to medical students, PA students, residents and fellows, including grand rounds at Duke and UNC. Dr. Clements frequently supervises one 3rd year medical students each year while they obtain their MPH from UNC. He is the course director for a medical school course entitled ""Exploring Medicine in Foreign Cultures"" which has 20 hours of didactic education and a ten day practicum in Honduras. Typically 40 students take his course both from Duke and UNC and 15 students accompany him on the trip to Honduras. He is also director of the medical Spanish curriculum for the medical students.Experience cultural awareness. Medical training in the third worldExplores needs of different populations in the world"	Health care access,Impacts of race and culture			
280	Global Mammal Parasite Database	Nunn, Charles	Brazil,India,Indonesia,Kenya,Madagascar,Malaysia,Singapore,South Africa	https://parasites.nunn-lab.org/	August 1999	Ongoing	Data on disease-causing pathogens of wild animal hosts are crucially important to understanding the transmission and spread of zoonotic disease both within the animal kingdom and among people. The Global Mammal Parasite Database (GMPD) is a compilation of parasites and pathogens from wild primate, carnivore, and ungulate hosts, obtained from over 2700 published scientific literature sources.  The GMPD can be used to explore parasite taxonomy, transmission, prevalence and global location. The site also offers data visualization tools to create charts, maps and tables from your selected data.	Infectious diseases,One Health,Data science	National Science Foundation (NSF) ,NIH-NSF-NIFA Ecology and Evolution of Infectious Disease	Sonia Altizer, Odum School of Ecology, University of Georgia,Vanessa Ezenwa, Odum School of Ecology and Department of Infectious Diseases and College of Veterinary Medicine at University of Georgia,Patrick Stephens, Odum School of Ecology, University of Georgia	
281	International Maternal Pediatric Adolescent AIDS Clinical Trials	Rubach, Matthew	Tanzania			Ongoing	KCMC-Duke University Health Research Collaboration remains one of the recruitment sites for IMPAACT Network HIV/AIDS clinical trials.Currently we have 3 open protocols and 4 additional protocols that are pending approval and study activation. All 7 of these studies will have direct impact on the management of pediatric HIV in sub-Saharan Africa.	HIV/AIDS	NIH-National Institute of Child Health and Human Development		
282	Antibiotic-resistant Enterobacteriaceae in community-acquired urinary tract infections, southern Sri Lanka	Tillekeratne, L Gayani	Sri Lanka			Ongoing	Extended-spectrum beta-lactamase (ESBL)-producing Enterobacteriaceae are increasingly reported as pathogens in urinary tract infections (UTIs). Infections due to ESBLs are worrisome as they are resistant to multiple antibiotics and can be difficult to treat. In Sri Lanka, the clinical and molecular epidemiology of ESBL-producing Enterobacteriaceae causing UTIs has not been well described. We conducted prospective, laboratory-based surveillance in a tertiary care hospital in southern Sri Lanka and enrolled patients %u22651 year with clinically relevant UTI due to ESBL-producing Enterobacteriaceae. Isolate identity, antimicrobial drug susceptibility, and ESBL production were detected and presence of ß-lactamase genes was identified by polymerase chain reaction. In this study, the majority of UTIs caused by ESBL-producing Enterobacteriaceae were acquired in the community and due to organisms carrying the group 1 CTX-M ß-lactamase. Further epidemiologic studies of ESBL-producing infections in South Asia are urgently needed to better prevent and treat these antibiotic-resistant infections.	Epidemiology,Infectious diseases	NIH-Fogarty International Center		
283	Economic Analysis of Children's Surgical Care in LMICs	Rice, Henry	United States			Ongoing	Economic analyses of children's surgical care in LMICs, including cost-effectiveness analyses, and societal economic benefits, using datasets from all over the world.Information used for resource allocation for children's surgical care.	Pediatrics,Surgery		Global Initiative for Children's Surgery (GICS)	
284	Lynch Fudan Pilot	Staton, Catherine				Ongoing	Validation of high road utilizer surveys as a data source for spatial analysis of road traffic crashes among vulnerable road users in Sri Lanka and Rwanda. Specific Objectives: 1. Determine the location of hot spots for vulnerable road user road traffic crashes (VRU RTCs) based on existing police records 2. Determine location of hot spots for VRU RTCs based on high road utilizer surveys (%u201Ccrowd-sourcing%u201D) 3. Determine the association between spatial analysis of hotspot location by survey and by police data 4. Compare and contrast data and experiences from Sri Lanka and Rwanda.We have had numerous abstracts presented at US and international international conferences including our Sri Lankan colleagues presenting an abstract at the European Society of Emergency Medicine in Torino, Italy October 2015 on our Sri Lankan results. We have two papers submitted on these results and 3 nearly ready for submission.	Injuries			
285	Prospective Evaluation of Air Pollution, Cognition, and Autism from Birth Onward (PECABO)	Zhang, Jim	United States			Ongoing	This project seeks to determine if prenatal air pollution exposures increase the risk of cognitive delays and autistic traits.	Air pollution,Pediatrics,Environmental health,Epidemiology	NIH-National Institute on Environmental Health Sciences	Johns Hopkins University	
286	Impact of spatial distribution of health services on child morbidity and mortality	Prudhomme O'Meara, Wendy				Ongoing	"Globally, fifty percent of deaths in children occur in sub-Saharan Africa. If the current trend persists, Sub-Saharan Africa will not reach Millennium Development Goal 4 (reduce child mortality by two thirds) until 2165, 150 years after the target date. Treatable or preventable infectious diseases such as pneumonia, malaria, and diarrhea, account for 61% of childhood deaths after the neonatal period. Therefore, a large proportion of deaths from birth to the fifth birthday are attributable to a handful of common causes that are avoidable through existing interventions, many of which are delivered through health facilities. It seems probable that access to these life-saving interventions is limited by the health systems that deliver them.The objective of the proposed work is to use innovative spatial techniques to quantify the contribution of access to health services in reducing childhood morbidity and mortality. We will use large, existing datasets to describe the relationship between health outcomes and geographic distribution of health services at different spatial scales. Ultimately, the goal of such an approach is to provide evidence regarding the impact of health systems infrastructure on disease burden, independent of disease-specific interventions. The impact of health systems is difficult to measure and large comparison studies or randomized trials are often not feasible. However, applying spatial statistical techniques to this problem can provide evidence for causal relationships in the absence of a counterfactual.W. P. O'Meara, A. Platt, V. Naanyu, D. Cole, S. Ndege, ""Spatial autocorrelation in uptake of antenatal care and relationship to individual, household and village-level factors: results from a community-based survey of pregnant women in six districts in western Kenya"" International Journal of Health Geographics 12:55 (2013)A retrospective cohort study to quantify the contribution of health systems to child survival in Kenya: 1996-2014 Rebecca Anthopolos, Ryan Simmons, Wendy Prudhomme O'Meara, Scientific Reports (IN PRESS)A. Wesolowski, W. Prudhomme O'Meara, N. Eagle, A.Tatem, C. Buckee ""Evaluating spatial interaction models for regional mobility in Sub-Saharan Africa"", PLoS Computational Biology 11(7): e1004267 (2015)A. Wesolowski, W. Prudhomme O'Meara, A.Tatem, S. Ndege, N. Eagle, C. Buckee ""Quantifying the impact of accessibility on preventative healthcare in Sub-Saharan Africa"", Epidemiology, 26:223—228 (2015)Health systems are the foundational infrastructure through which life-saving interventions are delivered. However, their impact on population health is difficult to measure. Our analysis of large-scale survey data reveals important associations between health systems characteristics and child survival in Kenya, independent of utilization or specific interventions, and lends weight to the argument that user fees for child services are detrimental to child survival. Furthermore, the presence of highly trained staff do not appear to be the limiting factor in Kenya. Instead, more attention should be given to understanding the role of the private sector and investment in improving the distribution of health services infrastructure."	Health care access,Pediatrics	NIH-National Institute of Child Health and Human Development		
287	Environmental correlates of low fertility in Shanghai	Merli, Maria-Giovanna	China			Ongoing	Understand the environmental correlates of progression to a second child in Shanghai in a context of very low desired fertility with the recent relaxation of the One Child Policy in the backdrop	Air pollution,Demography,Environmental health		University of Oxford	
288	Botswana Prospective Cancer Cohort		Botswana			Ongoing	To better understand cancer epidemiology and outcomes in Botswana, a middle income country in sub-Saharan Africa with high rates of HIV infection.Several publications have resulted from the Botswana Prospective Cohort addressing issues from delays in diagnosis and treatment initiation, to outcomes of women with cervical cancer.The information gathered from this study can be used to design interventions and policies to improve access to cancer care in Botswana and/or modify current cancer care practices. The ultimate goal is to improve cancer outcomes.			Brigham and Women's Hospital,Botswana Harvard Aids Institute Partnership	
289	Sri Lanka Emerging Acute Respiratory infection and febrile illness Characterization Study (SEARCh)	Woods, Chris	Sri Lanka			Ongoing	**Aim 1.** To perform febrile illness surveillance in southern Sri Lanka 1a. Determine the prevalence and seasonal distribution of diverse causes of dengue-like illnesses, in children and adults presenting to an acute care setting in Southern Sri Lanka. 1b. Determine the prevalence and seasonal distribution of diverse causes of febrile respiratory illnesses, including influenza (influenza-like illness), in children and adults presenting to an acute care setting in Southern Sri Lanka. 1c. Assess the clinical and epidemiological characteristics of the diverse etiologies of febrile respiratory illness in children and adults in Southern Sri Lanka. 1d. Validate a clinical predictor for common etiologies of febrile illness. **Aim 2.** Assess performance of novel pathogen and host-based diagnostics for acute febrile illness 2a. Implement a real-time multiplex respiratory viral PCR capacity at Ruhuna Microbiology 2b. Validate a real-time multiplex dengue-like illness PCR at Ruhuna Microbiology 2c. Validate a host-response signature for respiratory viral infection in a Sri Lanka population. 2d. Implement a pathogen discovery protocol to determine novel etiologies of severe acute respiratory illness in southern Sri Lanka **Aim 3.** To perform a geospatial analysis of etiologies of febrile illness in Southern Sri Lanka 3a. To determine the spatial prevalence of acute febrile illness due to acute respiratory infections, dengue, rickettsiae, leptospira, and bacterial infections, as well as undifferentiated acute febrile illness, in Galle district and visualize the results in digital maps at the sub-divisional level. 3b. To determine geospatial correlations between acute febrile illness and certain ecological (social or natural) features, respectively for all acute febrile illness, dengue, scrub typhus, leptospirosis, enteric fever, other viral infection, and undifferentiated acute febrile illness.* Use of Rapid Influenza Testing to Reduce Antibiotic Prescriptions Among Outpatients with Influenza-Like Illness in Southern Sri Lanka. Tillekeratne LG, Bodinayake CK, Nagahawatte A, Vidanagama D, Devasiri V, Arachchi WK, Kurukulasooriya R, De Silva AD, Østbye T, Reller ME, Woods CW. Am J Trop Med Hyg. 2015 Nov 4;93(5):1031-7. doi: 10.4269/ajtmh.15-0269. Epub 2015 Aug 17. PMID: 26283748 * An under-recognized influenza epidemic identified by rapid influenza testing, southern Sri Lanka, 2013. Tillekeratne LG, Bodinayake CK, Nagahawatte A, Vidanagama D, Devasiri V, Arachchi WK, Kurukulasooriya R, De Silva AD, Østybe T, Reller ME, Woods CW. Am J Trop Med Hyg. 2015 May;92(5):1023-9. doi: 10.4269/ajtmh.14-0708. Epub 2015 Mar 2. PMID: 25732679 * Chikungunya as a cause of acute febrile illness in southern Sri Lanka. Reller ME, Akoroda U, Nagahawatte A, Devasiri V, Kodikaarachchi W, Strouse JJ, Chua R, Hou Y, Chow A, Sessions OM, Østbye T, Gubler DJ, Woods CW, Bodinayake C. PLoS One. 2013 Dec 2;8(12):e82259. doi: 10.1371/journal.pone.0082259. eCollection 2013. PMID: 24312651 * Unsuspected rickettsioses among patients with acute febrile illness, Sri Lanka, 2007. Reller ME, Bodinayake C, Nagahawatte A, Devasiri V, Kodikara-Arachichi W, Strouse JJ, Flom JE, Østbye T, Woods CW, Dumler JS. Emerg Infect Dis. 2012 May;18(5):825-9. doi: 10.3201/eid1805.111563. PMID: 22516455 * Unsuspected dengue and acute febrile illness in rural and semi-urban southern Sri Lanka. Reller ME, Bodinayake C, Nagahawatte A, Devasiri V, Kodikara-Arachichi W, Strouse JJ, Broadwater A, Østbye T, de Silva A, Woods CW. Emerg Infect Dis. 2012 Feb;18(2):256-63. doi: 10.3201/eid1802.110962. PMID: 22304972 * Leptospirosis as frequent cause of acute febrile illness in southern Sri Lanka. Reller ME, Bodinayake C, Nagahawatte A, Devasiri V, Kodikara-Arachichi W, Strouse JJ, Flom JE, Dumler JS, Woods CW. Emerg Infect Dis. 2011 Sep;17(9):1678-84. doi: 10.3201/eid1709.100915. PMID: 21888794 * The impact of the Tsunami on hospitalizations at the tertiary care hospital in the Southern Province of Sri Lanka. Ostbye T, Ponnamperuma T, Fernando N, Abeygunawardena V, Wijayasiri WA, Chen JJ, Woods CW. Am J Disaster Med. 2008 May-Jun;3(3):147-55. PMID: 18666511Reduce inappropriate antibiotic use and emergence of antimicrobial resistance	Infectious diseases,One Health	Hubert-Yeargan Center for Global Health	Duke-NUS GMS	
290	Austere Environment Consortium for Enhanced Sepsis Outcomes (ACESO)	Woods, Chris	United States,Cambodia,Egypt			Ongoing	The work aims to improve early recognition, diagnosis and clinical management of patients with sepsis in resource-limited settings. In austere settings, such as military deployments, public health emergencies and health care centers in developing countries, the initial presentation of sepsis may occur where access to advanced diagnostics and intensive care unit-level care is extremely limited.	Infectious diseases		Department of the Navy	
291	Infectious Diseases in Africa: Measurement of Immune Responses	Ferrari, Guido	South Africa		July 2009	Ongoing	To support a scientific meeting that will foster the interaction of young African scientists with experts in the field of malaria, Tuberculosis, and HIV; and to facilitate the building of a network among the African scientists.	Infectious diseases	NIH-National Institute of Allergy and Infectious Diseases	University of Cape Town	
292	Religious Engagement and Psychopathology over the Lifecourse		United States		July 2009	Completed	Our understanding of how religious engagement and spirituality impact an individual's risk of mental health problems over the life-course is still quite limited. This is despite the fact that 30-40% of Americans participate in weekly religious activities and almost half will develop a psychiatric illness over the course of their lifetime. While the number of research studies in this area has recently grown, the lack of longitudinal data has hindered the interpretation of most findings. This study examines in greater detail the relationship between religious engagement and psychopathology over the life-course by taking advantage of multiple waves of data on both religious engagement and psychopathology that cover several decades. Using survival analysis techniques, we analyzed data from three follow-up studies of the New England Cohorts of the National Collaborate Perinatal Project (NCPP) to test the following hypotheses: 1. religious engagement will be protective against future risk and remission of major depression, generalized anxiety disorder, and anti social personality disorder; 2. a stable pattern of religious engagement over time will be associated with the lowest risk of illness; 3. religious engagement will buffer the association between childhood behavioral risk factors and risk of adult psychopathology; and 4. levels of religious service attendance and spiritual well-being will interact and together be uniquely be associated with psychopathology. Drawing on prior research showing gender and race/ethnicity differences in both religiosity and psychopathology, we will also examine any evidence of these differences in the observed associations. This research overcomes the limitations of prior studies by (1) utilizing data both on religious activity and psychopathology from multiple time points, (2) using measures of psychopathology assessed according to DSM criteria, and (3) integrating data on both religious service attendance and spiritual well-being.	Monitoring and evaluation,Religion	NIH-National Institute of Mental Health		
293	Center of Excellence in Cardiovascular and Pulmonary Diseases		Kenya		July 2009	Ongoing	The goal of this Center of Excellence project is to establish a sustainable continuous quality improvement environment in western Kenya to cyclically evaluate how to diagnose, characterize, treat and prevent chronic cardiovascular and pulmonary diseases. Objectives for this project are to 1. organize an administrative core for CVD clinical care, training and research; 2. develop and implement a competency-based clinical training curriculum; 3. establish a clinical research training program; 4. adopt and enhance existing data management and laboratory infrastructure for CVD; and 5. implement research programs to address prevalence, prevention and treatment.	Cardiovascular disease,Non-communicable diseases	NIH-National Heart, Lung and Blood Institute		
294	Curriculum for Training Technicians	Malkin, Robert	Cambodia,Honduras,Nigeria,Rwanda		June 2009	Ongoing	"Develop a curriculum for training technicians in Rwanda with potential application to other countries; 15 hospitals in Rwanda have signed up to use the Duke, evidence-based curriculum. The basis for the training will be a new curriculum developed by undergraduates at Duke's Pratt School of Engineering. Allison Keane (2009 Biomedical Engineering) did the basic research, analyzing reports from several thousand pieces of broken medical equipment and spending a summer in Africa with the Engineering World Health-Duke Summer Institute in 2008. Keane determined why medical equipment that works in the US fails when it arrives in the developing world. Using that information, Jenna Maloka (2009 Biomedical Engineering) and Keane determined what knowledge one would need to return the equipment to service in a resource-poor setting. Then, Mhoire and Kathleen Murphy (2009 Biomedical Engineering) and Marian Dickinson (2010 Biomedical Engineering) converted that knowledge into a curriculum that could be taught to secondary school graduates. Rwanda has been experiencing a remarkable recovery from a devastating civil war. However, the nation still suffers from a severe lack of trained personnel in the health care professions. There simply aren't enough doctors, nurses or biomedical engineers to keep the health care system running in Rwanda. In fact, there isn't even a school to train biomedical engineers or biomedical engineering technicians in the country.The curriculum created by Pratt's undergraduates teaches skills specific to a resource poor hospital; for example, substituting a broken fuse from the marketplace in an electrocardiogram when the exact replacement fuse is not available. The plan in Rwanda is to teach the new curriculum, as part of a longer curriculum - that Pratt is also developing - for three years, then use Rwandan graduates from the first years of the program to perpetuate the instruction. ""We're very excited about this roll-out,"" said Dr. Robert Malkin, Director of Engineering World Health-Duke. ""We've also discussed rolling out this curriculum in Ethiopia and Mozambique with the Centers for Disease Control. ""The World Health Organization estimates that most of the medical equipment in the developing world is not working. Broken equipment causes millions to go without treatment every year. The work of these Pratt students goes a long way towards making health care available to all."	Health policy and systems	General Electric Foundation		
295	Investigating Salinity and Radioactivity in Water Resources in Morocco	Vengosh, Avner			May 2009	Completed	Morocco is one of the most arid regions of the world and based on many Intergovernmental Panel on Climate Change (IPCC) climate models annual rainfall is expected to decrease over the next few decades. With increasing demands for drinking water and irrigation (90 percent of water in Morocco is used for agriculture) the water crisis in Morocco is expected to become exaggerated. The increase in groundwater exploitation is also associated with a rapid increase of the salinity in many of the aquifer systems of Morocco. The high salinity of groundwater has become a limiting factor for sustainable management of the water resources, and therefore has important implications for future economic development and social and political stability in Morocco. Water authorities are already struggling to distribute and provide potable water to the domestic and agricultural sectors. This North Atlantic Treaty Organization (NATO) project aims to investigate the groundwater quality (with a focus on the effects of salinity and radioactivity) of four major basins in Morocco (Souss-Massa, Draa, Ziz, and Tadla) through a collaborative effort between Duke University and University of Ibn Zohr in Agadir. This study aims to provide a systematic analysis of geochemical and isotopic compositions of saline ground waters from the selected aquifers, which will help to evaluate the sources of salinity, mechanisms for salinization, as well as the first investigation of naturally occurring radioactive nuclides in water resources in Morocco. Identifying the origin of salinity and radioactivity is crucial for water management, model prediction, and remediation. This analysis will help to establish a scientifically-based water management plan with specific recommendations for the end-users for sustainable exploitation of the water sources in the investigated basins and potential implications on population health.Several publications and a few more papers on progress: Vinson, D.S., Tagma, T., Bouchaou, L., Dwyer, G.S., Nathaniel R. Warner, N.R., and Vengosh, A. (2013) Occurrence and mobilization of radium in brackish to saline groundwater in coastal aquifers as inferred from geochemical and isotopic tracers (Ra, Rn, Sr, S, O, H). Applied Geochemistry, 38, 161-175. Warner, N.R., Lgourna, Z, Bouchaou, L, Boutaleb, S, Tagma, T, Hsaissoune, M, Vengosh, A., (2013). Integration of geochemical and isotopic tracers for elucidating water sources and salinization of shallow aquifers in the sub-Saharan Drâa Basin, Morocco. Applied Geochemistry, 34, 140-151. Ettayfi, N., Bouchaou, L., Michelot, J.L., Tagama, T., Warner, N., Boutaleb, S., Massault, M., Lgourna, Z., Vengosh, A. (2012) Geochemical and isotopic (oxygen, hydrogen, carbon, strontium) constraints for the origin, salinity, and residence time of groundwater from a carbonate aquifer in the Western Anti-Atlas Mountains, Morocco. Journal of Hydrology, 438, 97-111. Bouchaou, L. , Qurtobi, M., Michelot , J.L., Zine, N., Gaye, C.B., Aggarwal, P.K., Mara, H., Zerouall, A., Taleb, H. and Vengosh, A. (2009). Origin and residence time of groundwater in the Tadla basin (Morocco) using multiple isotopic and geochemical tools. Journal of Hydrology, 379, 323-338.Modification and adjustment of the national water management practice.	Climate,Water,Environmental health	North Atlantic Treaty Organization, Science for Peace	University of Ibn Zohr in Agadir	
296	Coping with HIV/AIDS in Tanzania	Whetten, Kathryn	Tanzania		November 2008	Ongoing	Prospective observational study that seeks to understand the psychosocial factors (depression, coping styles, trauma history) that influence HIV medication adherence and health outcomes in Tanzania.The impact of trauma, psychosocial adaptation, and mental health on HIV outcomes in this research will have major implications for key features in delivery of HIV care.	Health care access,HIV/AIDS,Mental health	NIH-National Institute of Mental Health	Kilimanjaro Christian Medical Centre	
297	Alcohol-related HIV Risks Among South African Women	Watt, Melissa	South Africa		September 2008	Completed	PIs: Kathleen J. Sikkema and Seth Kalichman (University of Connecticut) Investigators: Melissa Watt Funder: NIAAA, R01, 2008-2014 Site: Cape Town, South Africa This study, conducted in Cape Town, South Africa, aimed to understand women's HIV risks in the context of alcohol-serving establishments in one urban township. The data included in-depth qualitative interviews with a range of stakeholders, repeated cross-sectional surveys of venue patrons, and a longitudinal cohort of women who frequent the study venues. 12 distinct venues were selected for involvement in the study. Over four time points in one year, 2,783 patrons completed the surveys, and a cohort of 560 women were followed longitudinally.An overarching theme among this population was the presence of poor mental health, particularly PTSD and depression, coupled with HIV risk behaviors and high alcohol consumption. The team has published over a dozen papers, both quantitative and qualitative, examining issues such as mental health, alcohol use, traumatic experiences, and food insecurity. Outcomes indicate a large presence of substance use among this population, particularly heavy alcohol consumption and use of methamphetamine. Both qualitative and quantitative data point to the pervasive practice of gender-based violence, sometimes facilitated by the venue atmosphere. Specifically, forced sex and other traumatic experiences were endorsed by the majority of women.	HIV/AIDS,Substance use,Violence	NIH-National Institute of Mental Health	Stellenbosch University	
298	Advancing and Diffusing Knowledge on Muslim-Americans	Read, Jen'nan			August 2008	Completed	This grant supported the advancement and diffusion of Dr. Read's research on Muslim American political incorporation. As a Carnegie Scholar, she has spent the past two years examining this issue and is eager to share her findings with a broader audience than is traditionally reached through academic outlets. To this end, she proposes to partner with Duke University and use the funds for web development and strategic outreach and communication. The overarching goal is to translate Dr. Read's academic findings into a language that is easily accessible to a broad audience, including educators, policy-makers, journalists, and individuals, both here and abroad. Dr. Read's work speaks directly to the widespread concern over the compatibility of Islam and democracy. By comparing Muslim Americans to other immigrant and religious groups, she has shown that their experiences are no different from earlier immigrant arrivals, including Italians, Jews, and Japanese. She has also shown that their political values and behaviors are no different from other Americans today, including Evangelical Christians. This information is not available to most Americans, but it needs to be. The second and equally important part of the project is outreach and communication - making both the research and the website visible, both locally and globally. This will also involve working closely with the Office of News and Communications to publicize the website via major search engines and other outlets, hiring a publicist to reach venues that are beyond the scope of the communications office. Dr. Read will also work with non-profit organizations, such as the Arab American Institute Foundation, to make the work visible in policy arenas.	Digital health,Impacts of race and culture	Carnegie Corporation of New York		
299	Cost Effectiveness of Repeat HIV testing		Tanzania		July 2008	Completed	This study developed a mathematical model to evaluate the cost-effectiveness of alternative strategies for repeated HIV testing in sub-Saharan Africa, under alternative assumptions of high, medium and low HIV incidence rates, and varying costs and benefits of HIV testing and treatment. The model evaluates the relative cost effectiveness of repeat HIV testing strategies ranging from every 3 months to once every 15 years.Waters RC, Ostermann J, Reeves TD, et al. A cost-effectiveness analysis of alternative HIV re-testing strategies in sub-Saharan Africa. J Acquir Immune Defic Syndr. 2011 Apr 15;56(5):443-52.It will inform the development of customized guidelines for repeat HIV testing intervals depending on local HIV incidence and HIV testing and treatment cost.	HIV/AIDS,Health economics		Kilimanjaro Christian Medical Centre	
